plataforma,equipamento,tipo_sensor,valor,unidade,timestamp
Plataforma C,SensorBox 1,umidade,10.78,%,2025-03-22T16:35:01.985340+00:00
Plataforma C,SensorBox 1,pressao,10.21,Pa,2025-03-22T16:35:01.985340+00:00
Plataforma B,SensorBox 2,temperatura,29.1,C,2025-03-22T16:35:01.985347+00:00
Plataforma B,SensorBox 2,umidade,43.02,%,2025-03-22T16:35:01.985347+00:00
Plataforma B,SensorBox 2,pressao,56.94,Pa,2025-03-22T16:35:01.985347+00:00
Plataforma B,SensorBox 2,temperatura,39.47,C,2025-03-22T16:35:01.985353+00:00
Plataforma B,SensorBox 2,umidade,57.08,%,2025-03-22T16:35:01.985353+00:00
Plataforma B,SensorBox 2,pressao,34.29,Pa,2025-03-22T16:35:01.985353+00:00
Plataforma A,SensorBox 3,temperatura,54.7,C,2025-03-22T16:35:01.985359+00:00
Plataforma A,SensorBox 3,umidade,61.95,%,2025-03-22T16:35:01.985359+00:00
Plataforma A,SensorBox 3,pressao,24.12,Pa,2025-03-22T16:35:01.985359+00:00
Plataforma B,SensorBox 3,temperatura,73.68,C,2025-03-22T16:35:01.985366+00:00
Plataforma B,SensorBox 3,umidade,38.6,%,2025-03-22T16:35:01.985366+00:00
Plataforma B,SensorBox 3,pressao,12.63,Pa,2025-03-22T16:35:01.985366+00:00
Plataforma A,SensorBox 1,temperatura,37.81,C,2025-03-22T16:35:01.985372+00:00
Plataforma A,SensorBox 1,umidade,59.52,%,2025-03-22T16:35:01.985372+00:00
Plataforma A,SensorBox 1,pressao,69.43,Pa,2025-03-22T16:35:01.985372+00:00
Plataforma B,SensorBox 3,temperatura,45.18,C,2025-03-22T16:35:01.985378+00:00
Plataforma B,SensorBox 3,umidade,47.33,%,2025-03-22T16:35:01.985378+00:00
Plataforma B,SensorBox 3,pressao,26.57,Pa,2025-03-22T16:35:01.985378+00:00
Plataforma C,SensorBox 3,temperatura,70.62,C,2025-03-22T16:35:01.985384+00:00
Plataforma C,SensorBox 3,umidade,57.36,%,2025-03-22T16:35:01.985384+00:00
Plataforma C,SensorBox 3,pressao,52.46,Pa,2025-03-22T16:35:01.985384+00:00
Plataforma B,SensorBox 2,temperatura,16.69,C,2025-03-22T16:35:01.985390+00:00
Plataforma B,SensorBox 2,umidade,87.57,%,2025-03-22T16:35:01.985390+00:00
Plataforma B,SensorBox 2,pressao,31.16,Pa,2025-03-22T16:35:01.985390+00:00
Plataforma B,SensorBox 1,temperatura,55.3,C,2025-03-22T16:35:01.985397+00:00
Plataforma B,SensorBox 1,umidade,53.87,%,2025-03-22T16:35:01.985397+00:00
Plataforma B,SensorBox 1,pressao,64.76,Pa,2025-03-22T16:35:01.985397+00:00
Plataforma B,SensorBox 2,temperatura,96.61,C,2025-03-22T16:35:01.985403+00:00
Plataforma B,SensorBox 2,umidade,55.77,%,2025-03-22T16:35:01.985403+00:00
Plataforma B,SensorBox 2,pressao,66.28,Pa,2025-03-22T16:35:01.985403+00:00
Plataforma B,SensorBox 2,temperatura,33.2,C,2025-03-22T16:35:01.985409+00:00
Plataforma B,SensorBox 2,umidade,32.47,%,2025-03-22T16:35:01.985409+00:00
Plataforma B,SensorBox 2,pressao,25.42,Pa,2025-03-22T16:35:01.985409+00:00
Plataforma B,SensorBox 2,temperatura,87.18,C,2025-03-22T16:35:01.985416+00:00
Plataforma B,SensorBox 2,umidade,28.93,%,2025-03-22T16:35:01.985416+00:00
Plataforma B,SensorBox 2,pressao,56.78,Pa,2025-03-22T16:35:01.985416+00:00
Plataforma A,SensorBox 1,temperatura,55.55,C,2025-03-22T16:35:01.985422+00:00
Plataforma A,SensorBox 1,umidade,19.18,%,2025-03-22T16:35:01.985422+00:00
Plataforma A,SensorBox 1,pressao,29.33,Pa,2025-03-22T16:35:01.985422+00:00
Plataforma B,SensorBox 1,temperatura,29.88,C,2025-03-22T16:35:01.985428+00:00
Plataforma B,SensorBox 1,umidade,18.19,%,2025-03-22T16:35:01.985428+00:00
Plataforma B,SensorBox 1,pressao,52.55,Pa,2025-03-22T16:35:01.985428+00:00
Plataforma A,SensorBox 1,temperatura,32.53,C,2025-03-22T16:35:01.985435+00:00
Plataforma A,SensorBox 1,umidade,80.98,%,2025-03-22T16:35:01.985435+00:00
Plataforma A,SensorBox 1,pressao,78.02,Pa,2025-03-22T16:35:01.985435+00:00
Plataforma B,SensorBox 2,temperatura,47.75,C,2025-03-22T16:35:01.985441+00:00
Plataforma B,SensorBox 2,umidade,82.77,%,2025-03-22T16:35:01.985441+00:00
Plataforma B,SensorBox 2,pressao,43.66,Pa,2025-03-22T16:35:01.985441+00:00
Plataforma C,SensorBox 1,temperatura,68.64,C,2025-03-22T16:35:01.985448+00:00
Plataforma C,SensorBox 1,umidade,30.21,%,2025-03-22T16:35:01.985448+00:00
Plataforma C,SensorBox 1,pressao,10.9,Pa,2025-03-22T16:35:01.985448+00:00
Plataforma B,SensorBox 3,temperatura,95.61,C,2025-03-22T16:35:01.985455+00:00
Plataforma B,SensorBox 3,umidade,30.51,%,2025-03-22T16:35:01.985455+00:00
Plataforma B,SensorBox 3,pressao,96.21,Pa,2025-03-22T16:35:01.985455+00:00
Plataforma A,SensorBox 3,temperatura,47.21,C,2025-03-22T16:35:01.985462+00:00
Plataforma A,SensorBox 3,umidade,91.67,%,2025-03-22T16:35:01.985462+00:00
Plataforma A,SensorBox 3,pressao,85.12,Pa,2025-03-22T16:35:01.985462+00:00
Plataforma B,SensorBox 3,temperatura,25.17,C,2025-03-22T16:35:01.985469+00:00
Plataforma B,SensorBox 3,umidade,54.74,%,2025-03-22T16:35:01.985469+00:00
Plataforma B,SensorBox 3,pressao,88.66,Pa,2025-03-22T16:35:01.985469+00:00
Plataforma C,SensorBox 3,temperatura,11.32,C,2025-03-22T16:35:01.985475+00:00
Plataforma C,SensorBox 3,umidade,99.01,%,2025-03-22T16:35:01.985475+00:00
Plataforma C,SensorBox 3,pressao,78.17,Pa,2025-03-22T16:35:01.985475+00:00
Plataforma A,SensorBox 1,temperatura,24.41,C,2025-03-22T16:35:01.985482+00:00
Plataforma A,SensorBox 1,umidade,18.44,%,2025-03-22T16:35:01.985482+00:00
Plataforma A,SensorBox 1,pressao,87.18,Pa,2025-03-22T16:35:01.985482+00:00
Plataforma B,SensorBox 1,temperatura,17.02,C,2025-03-22T16:35:01.985488+00:00
Plataforma B,SensorBox 1,umidade,11.97,%,2025-03-22T16:35:01.985488+00:00
Plataforma B,SensorBox 1,pressao,23.54,Pa,2025-03-22T16:35:01.985488+00:00
Plataforma A,SensorBox 1,temperatura,99.12,C,2025-03-22T16:35:01.985494+00:00
Plataforma A,SensorBox 1,umidade,17.64,%,2025-03-22T16:35:01.985494+00:00
Plataforma A,SensorBox 1,pressao,46.07,Pa,2025-03-22T16:35:01.985494+00:00
Plataforma B,SensorBox 2,temperatura,37.56,C,2025-03-22T16:35:01.985500+00:00
Plataforma B,SensorBox 2,umidade,81.32,%,2025-03-22T16:35:01.985500+00:00
Plataforma B,SensorBox 2,pressao,27.1,Pa,2025-03-22T16:35:01.985500+00:00
Plataforma A,SensorBox 1,temperatura,91.34,C,2025-03-22T16:35:01.985507+00:00
Plataforma A,SensorBox 1,umidade,18.52,%,2025-03-22T16:35:01.985507+00:00
Plataforma A,SensorBox 1,pressao,54.31,Pa,2025-03-22T16:35:01.985507+00:00
Plataforma C,SensorBox 2,temperatura,35.98,C,2025-03-22T16:35:01.985513+00:00
Plataforma C,SensorBox 2,umidade,92.35,%,2025-03-22T16:35:01.985513+00:00
Plataforma C,SensorBox 2,pressao,66.22,Pa,2025-03-22T16:35:01.985513+00:00
Plataforma A,SensorBox 2,temperatura,20.06,C,2025-03-22T16:35:01.985519+00:00
Plataforma A,SensorBox 2,umidade,63.42,%,2025-03-22T16:35:01.985519+00:00
Plataforma A,SensorBox 2,pressao,28.87,Pa,2025-03-22T16:35:01.985519+00:00
Plataforma A,SensorBox 1,temperatura,50.09,C,2025-03-22T16:35:01.985525+00:00
Plataforma A,SensorBox 1,umidade,75.61,%,2025-03-22T16:35:01.985525+00:00
Plataforma A,SensorBox 1,pressao,83.68,Pa,2025-03-22T16:35:01.985525+00:00
Plataforma A,SensorBox 1,temperatura,46.6,C,2025-03-22T16:35:01.985532+00:00
Plataforma A,SensorBox 1,umidade,24.89,%,2025-03-22T16:35:01.985532+00:00
Plataforma A,SensorBox 1,pressao,78.96,Pa,2025-03-22T16:35:01.985532+00:00
Plataforma B,SensorBox 2,temperatura,54.73,C,2025-03-22T16:35:01.985538+00:00
Plataforma B,SensorBox 2,umidade,21.41,%,2025-03-22T16:35:01.985538+00:00
Plataforma B,SensorBox 2,pressao,15.78,Pa,2025-03-22T16:35:01.985538+00:00
Plataforma C,SensorBox 2,temperatura,83.96,C,2025-03-22T16:35:01.985545+00:00
Plataforma C,SensorBox 2,umidade,82.07,%,2025-03-22T16:35:01.985545+00:00
Plataforma C,SensorBox 2,pressao,45.11,Pa,2025-03-22T16:35:01.985545+00:00
Plataforma B,SensorBox 2,temperatura,25.44,C,2025-03-22T16:35:01.985551+00:00
Plataforma B,SensorBox 2,umidade,56.8,%,2025-03-22T16:35:01.985551+00:00
Plataforma B,SensorBox 2,pressao,98.76,Pa,2025-03-22T16:35:01.985551+00:00
Plataforma A,SensorBox 1,temperatura,20.55,C,2025-03-22T16:35:01.985808+00:00
Plataforma A,SensorBox 1,umidade,54.76,%,2025-03-22T16:35:01.985808+00:00
Plataforma A,SensorBox 1,pressao,31.28,Pa,2025-03-22T16:35:01.985808+00:00
Plataforma A,SensorBox 2,temperatura,60.58,C,2025-03-22T16:35:01.985821+00:00
Plataforma A,SensorBox 2,umidade,27.28,%,2025-03-22T16:35:01.985821+00:00
Plataforma A,SensorBox 2,pressao,27.02,Pa,2025-03-22T16:35:01.985821+00:00
Plataforma C,SensorBox 1,temperatura,12.8,C,2025-03-22T16:35:01.985829+00:00
Plataforma C,SensorBox 1,umidade,27.35,%,2025-03-22T16:35:01.985829+00:00
Plataforma C,SensorBox 1,pressao,22.33,Pa,2025-03-22T16:35:01.985829+00:00
Plataforma C,SensorBox 1,temperatura,60.53,C,2025-03-22T16:35:01.985838+00:00
Plataforma C,SensorBox 1,umidade,27.28,%,2025-03-22T16:35:01.985838+00:00
Plataforma C,SensorBox 1,pressao,33.05,Pa,2025-03-22T16:35:01.985838+00:00
Plataforma B,SensorBox 2,temperatura,43.32,C,2025-03-22T16:35:01.985847+00:00
Plataforma B,SensorBox 2,umidade,81.09,%,2025-03-22T16:35:01.985847+00:00
Plataforma B,SensorBox 2,pressao,67.15,Pa,2025-03-22T16:35:01.985847+00:00
Plataforma C,SensorBox 3,temperatura,36.62,C,2025-03-22T16:35:01.985855+00:00
Plataforma C,SensorBox 3,umidade,98.9,%,2025-03-22T16:35:01.985855+00:00
Plataforma C,SensorBox 3,pressao,87.45,Pa,2025-03-22T16:35:01.985855+00:00
Plataforma B,SensorBox 1,temperatura,83.65,C,2025-03-22T16:35:01.985864+00:00
Plataforma B,SensorBox 1,umidade,85.61,%,2025-03-22T16:35:01.985864+00:00
Plataforma B,SensorBox 1,pressao,40.53,Pa,2025-03-22T16:35:01.985864+00:00
Plataforma C,SensorBox 3,temperatura,27.84,C,2025-03-22T16:35:01.985873+00:00
Plataforma C,SensorBox 3,umidade,66.31,%,2025-03-22T16:35:01.985873+00:00
Plataforma C,SensorBox 3,pressao,35.65,Pa,2025-03-22T16:35:01.985873+00:00
Plataforma A,SensorBox 2,temperatura,48.34,C,2025-03-22T16:35:01.985883+00:00
Plataforma A,SensorBox 2,umidade,67.43,%,2025-03-22T16:35:01.985883+00:00
Plataforma A,SensorBox 2,pressao,19.39,Pa,2025-03-22T16:35:01.985883+00:00
Plataforma C,SensorBox 1,temperatura,95.74,C,2025-03-22T16:35:01.985891+00:00
Plataforma C,SensorBox 1,umidade,84.75,%,2025-03-22T16:35:01.985891+00:00
Plataforma C,SensorBox 1,pressao,21.23,Pa,2025-03-22T16:35:01.985891+00:00
Plataforma B,SensorBox 3,temperatura,15.37,C,2025-03-22T16:35:01.985902+00:00
Plataforma B,SensorBox 3,umidade,21.44,%,2025-03-22T16:35:01.985902+00:00
Plataforma B,SensorBox 3,pressao,18.09,Pa,2025-03-22T16:35:01.985902+00:00
Plataforma A,SensorBox 2,temperatura,30.6,C,2025-03-22T16:35:01.985910+00:00
Plataforma A,SensorBox 2,umidade,45.5,%,2025-03-22T16:35:01.985910+00:00
Plataforma A,SensorBox 2,pressao,87.29,Pa,2025-03-22T16:35:01.985910+00:00
Plataforma A,SensorBox 1,temperatura,68.09,C,2025-03-22T16:35:01.985921+00:00
Plataforma A,SensorBox 1,umidade,58.84,%,2025-03-22T16:35:01.985921+00:00
Plataforma A,SensorBox 1,pressao,58.46,Pa,2025-03-22T16:35:01.985921+00:00
Plataforma A,SensorBox 1,temperatura,26.64,C,2025-03-22T16:35:01.985933+00:00
Plataforma A,SensorBox 1,umidade,71.32,%,2025-03-22T16:35:01.985933+00:00
Plataforma A,SensorBox 1,pressao,99.41,Pa,2025-03-22T16:35:01.985933+00:00
Plataforma A,SensorBox 3,temperatura,95.37,C,2025-03-22T16:35:01.985943+00:00
Plataforma A,SensorBox 3,umidade,31.14,%,2025-03-22T16:35:01.985943+00:00
Plataforma A,SensorBox 3,pressao,26.91,Pa,2025-03-22T16:35:01.985943+00:00
Plataforma A,SensorBox 1,temperatura,94.85,C,2025-03-22T16:35:01.985950+00:00
Plataforma A,SensorBox 1,umidade,98.64,%,2025-03-22T16:35:01.985950+00:00
Plataforma A,SensorBox 1,pressao,37.13,Pa,2025-03-22T16:35:01.985950+00:00
Plataforma A,SensorBox 3,temperatura,17.27,C,2025-03-22T16:35:01.985956+00:00
Plataforma A,SensorBox 3,umidade,95.27,%,2025-03-22T16:35:01.985956+00:00
Plataforma A,SensorBox 3,pressao,32.43,Pa,2025-03-22T16:35:01.985956+00:00
Plataforma B,SensorBox 2,temperatura,27.85,C,2025-03-22T16:35:01.985962+00:00
Plataforma B,SensorBox 2,umidade,86.37,%,2025-03-22T16:35:01.985962+00:00
Plataforma B,SensorBox 2,pressao,30.7,Pa,2025-03-22T16:35:01.985962+00:00
Plataforma C,SensorBox 1,temperatura,32.94,C,2025-03-22T16:35:01.985969+00:00
Plataforma C,SensorBox 1,umidade,10.98,%,2025-03-22T16:35:01.985969+00:00
Plataforma C,SensorBox 1,pressao,87.05,Pa,2025-03-22T16:35:01.985969+00:00
Plataforma C,SensorBox 3,temperatura,74.86,C,2025-03-22T16:35:01.985976+00:00
Plataforma C,SensorBox 3,umidade,92.27,%,2025-03-22T16:35:01.985976+00:00
Plataforma C,SensorBox 3,pressao,33.19,Pa,2025-03-22T16:35:01.985976+00:00
Plataforma A,SensorBox 2,temperatura,58.83,C,2025-03-22T16:35:01.985982+00:00
Plataforma A,SensorBox 2,umidade,26.42,%,2025-03-22T16:35:01.985982+00:00
Plataforma A,SensorBox 2,pressao,71.47,Pa,2025-03-22T16:35:01.985982+00:00
Plataforma B,SensorBox 1,temperatura,20.93,C,2025-03-22T16:35:01.985989+00:00
Plataforma B,SensorBox 1,umidade,79.55,%,2025-03-22T16:35:01.985989+00:00
Plataforma B,SensorBox 1,pressao,20.79,Pa,2025-03-22T16:35:01.985989+00:00
Plataforma B,SensorBox 2,temperatura,65.39,C,2025-03-22T16:35:01.985995+00:00
Plataforma B,SensorBox 2,umidade,43.13,%,2025-03-22T16:35:01.985995+00:00
Plataforma B,SensorBox 2,pressao,38.26,Pa,2025-03-22T16:35:01.985995+00:00
Plataforma A,SensorBox 1,temperatura,21.05,C,2025-03-22T16:35:01.986001+00:00
Plataforma A,SensorBox 1,umidade,90.32,%,2025-03-22T16:35:01.986001+00:00
Plataforma A,SensorBox 1,pressao,68.98,Pa,2025-03-22T16:35:01.986001+00:00
Plataforma A,SensorBox 1,temperatura,15.17,C,2025-03-22T16:35:01.986007+00:00
Plataforma A,SensorBox 1,umidade,58.7,%,2025-03-22T16:35:01.986007+00:00
Plataforma A,SensorBox 1,pressao,31.59,Pa,2025-03-22T16:35:01.986007+00:00
Plataforma C,SensorBox 2,temperatura,65.64,C,2025-03-22T16:35:01.986013+00:00
Plataforma C,SensorBox 2,umidade,45.02,%,2025-03-22T16:35:01.986013+00:00
Plataforma C,SensorBox 2,pressao,45.7,Pa,2025-03-22T16:35:01.986013+00:00
Plataforma B,SensorBox 2,temperatura,14.26,C,2025-03-22T16:35:01.986019+00:00
Plataforma B,SensorBox 2,umidade,50.92,%,2025-03-22T16:35:01.986019+00:00
Plataforma B,SensorBox 2,pressao,71.27,Pa,2025-03-22T16:35:01.986019+00:00
Plataforma B,SensorBox 1,temperatura,65.22,C,2025-03-22T16:35:01.986025+00:00
Plataforma B,SensorBox 1,umidade,29.62,%,2025-03-22T16:35:01.986025+00:00
Plataforma B,SensorBox 1,pressao,31.25,Pa,2025-03-22T16:35:01.986025+00:00
Plataforma C,SensorBox 2,temperatura,95.95,C,2025-03-22T16:35:01.986031+00:00
Plataforma C,SensorBox 2,umidade,78.58,%,2025-03-22T16:35:01.986031+00:00
Plataforma C,SensorBox 2,pressao,21.74,Pa,2025-03-22T16:35:01.986031+00:00
Plataforma C,SensorBox 3,temperatura,81.5,C,2025-03-22T16:35:01.986038+00:00
Plataforma C,SensorBox 3,umidade,75.21,%,2025-03-22T16:35:01.986038+00:00
Plataforma C,SensorBox 3,pressao,44.61,Pa,2025-03-22T16:35:01.986038+00:00
Plataforma B,SensorBox 3,temperatura,50.03,C,2025-03-22T16:35:01.986044+00:00
Plataforma B,SensorBox 3,umidade,88.68,%,2025-03-22T16:35:01.986044+00:00
Plataforma B,SensorBox 3,pressao,30.53,Pa,2025-03-22T16:35:01.986044+00:00
Plataforma B,SensorBox 1,temperatura,98.42,C,2025-03-22T16:35:01.986050+00:00
Plataforma B,SensorBox 1,umidade,69.16,%,2025-03-22T16:35:01.986050+00:00
Plataforma B,SensorBox 1,pressao,99.68,Pa,2025-03-22T16:35:01.986050+00:00
Plataforma B,SensorBox 3,temperatura,62.36,C,2025-03-22T16:35:01.986056+00:00
Plataforma B,SensorBox 3,umidade,44.68,%,2025-03-22T16:35:01.986056+00:00
Plataforma B,SensorBox 3,pressao,85.0,Pa,2025-03-22T16:35:01.986056+00:00
Plataforma A,SensorBox 2,temperatura,38.43,C,2025-03-22T16:35:01.986062+00:00
Plataforma A,SensorBox 2,umidade,33.97,%,2025-03-22T16:35:01.986062+00:00
Plataforma A,SensorBox 2,pressao,27.5,Pa,2025-03-22T16:35:01.986062+00:00
Plataforma B,SensorBox 1,temperatura,20.02,C,2025-03-22T16:35:01.986068+00:00
Plataforma B,SensorBox 1,umidade,77.04,%,2025-03-22T16:35:01.986068+00:00
Plataforma B,SensorBox 1,pressao,98.93,Pa,2025-03-22T16:35:01.986068+00:00
Plataforma C,SensorBox 3,temperatura,84.02,C,2025-03-22T16:35:01.986074+00:00
Plataforma C,SensorBox 3,umidade,85.22,%,2025-03-22T16:35:01.986074+00:00
Plataforma C,SensorBox 3,pressao,88.88,Pa,2025-03-22T16:35:01.986074+00:00
Plataforma A,SensorBox 2,temperatura,58.81,C,2025-03-22T16:35:01.986080+00:00
Plataforma A,SensorBox 2,umidade,94.84,%,2025-03-22T16:35:01.986080+00:00
Plataforma A,SensorBox 2,pressao,18.58,Pa,2025-03-22T16:35:01.986080+00:00
